# Mass Radius Likelihood 
1.518109664832588468e+00 1.176554490910276130e+01 3.082161923940803494e-95
1.072662284075558192e+00 9.582887624035009821e+00 3.132084904270062540e-95
1.354425808670132847e+00 1.317942670002683414e+01 3.176627694742469492e-95
1.263061463295042319e+00 1.354548111882567696e+01 3.296797245154183374e-95
1.675117258534936315e+00 1.345119329812984788e+01 3.492709631806330197e-95
1.248392417165738122e+00 1.080568326669126478e+01 3.669962169192919392e-95
1.232019778632365004e+00 9.787693212733444170e+00 3.700390233489693740e-95
1.695806629968769297e+00 1.516404645421226860e+01 3.834980376445399306e-95
1.019779238815738065e+00 8.519463021758431509e+00 4.041649902054709747e-95
1.167901456810331418e+00 1.056272464049551729e+01 4.185297262277484691e-95
1.179818954405004394e+00 9.057279014373017745e+00 5.399204029600035247e-95
1.243835590427954774e+00 1.078128234837498312e+01 6.009470962277635877e-95
1.071550069951428652e+00 9.409521759758586512e+00 6.568914142190528564e-95
1.148369077993949494e+00 1.081969262647796270e+01 6.625879932836937995e-95
1.049925451239170915e+00 1.002716402018447894e+01 6.904790575177686355e-95
1.040603570113501242e+00 8.778403444697808311e+00 7.450700268222045084e-95
1.580559383988389133e+00 1.393191686191106982e+01 7.536425281809939021e-95
1.528718835696271761e+00 1.375874513563073620e+01 7.919130706534698632e-95
1.186150278768816957e+00 1.041980679198297821e+01 8.138247934049401486e-95
1.381787180282786798e+00 1.338146083841379763e+01 8.195835580656257012e-95
1.139635825612613340e+00 1.242596742948900257e+01 8.304620373418810843e-95
1.527591966046375260e+00 1.487835266855114469e+01 8.527116907287047584e-95
1.222826496185112077e+00 1.232169102366526658e+01 8.849097581695291092e-95
1.479598753515192211e+00 1.127975079417729276e+01 8.900119596250516472e-95
1.247392275982938115e+00 1.114042184966332982e+01 9.484559706691448941e-95
1.578992924184251745e+00 1.298949075093568695e+01 1.016285622607501216e-94
1.626372608070312253e+00 1.114696021348056121e+01 1.118667209433651044e-94
1.274261699841483075e+00 9.051603694782659915e+00 1.286835639518940527e-94
1.580026283463410675e+00 1.277990356978775210e+01 1.301867589339403013e-94
1.097796907346255679e+00 1.257639774605987171e+01 1.312613681430465774e-94
1.888882296728220833e+00 1.476927511761125089e+01 1.481595681722906816e-94
1.424572198030463976e+00 1.145178028160354344e+01 1.668523958987355118e-94
1.039750072725904362e+00 1.051360684710956050e+01 1.750160595644344837e-94
1.260960637126299133e+00 1.348630385271220433e+01 1.897920164888232134e-94
1.173840408690073556e+00 1.157614217967289605e+01 2.019396933101404398e-94
1.104611272359248275e+00 1.025697569420427868e+01 2.159511533716069628e-94
1.809097131198184272e+00 1.560577379966914080e+01 2.310207882410161790e-94
1.504597688268579425e+00 1.230445241983687943e+01 2.313366633370188040e-94
1.859185694619048590e+00 1.222968212734044613e+01 2.327494253670744220e-94
1.422572530148698888e+00 1.222431962928871840e+01 2.384854074656533383e-94
1.942179611888307900e+00 1.475893288135913295e+01 2.439578440775779445e-94
1.339469470642068449e+00 1.538565643472689359e+01 2.464472737091414001e-94
1.240253381209150296e+00 1.068494366022896713e+01 2.758930286053286076e-94
1.200720314913489073e+00 1.023538877173381678e+01 2.761862263981223913e-94
1.041252491260259871e+00 1.043266292779930815e+01 2.848071680502708998e-94
1.182509837439158051e+00 1.119754192845853780e+01 2.854120747961628945e-94
1.051919123041984205e+00 8.025888873497354581e+00 2.907351277974189389e-94
1.395995051902990891e+00 1.327289349280480124e+01 2.935926669137131548e-94
1.339172563006334471e+00 1.125993164860337004e+01 2.973622448958677596e-94
1.285432634080896586e+00 1.302376348566608399e+01 2.987892031863921773e-94
1.082612005340481520e+00 1.122968521746662773e+01 3.010399446805729826e-94
1.412758944333583289e+00 1.122207035836400024e+01 3.082210548794921451e-94
1.232150280014517207e+00 1.053024970792936088e+01 3.562518685099960928e-94
2.027988184396544824e+00 1.350332646998235830e+01 3.574045804758773200e-94
1.374148892647984344e+00 1.157763446003118801e+01 3.717519239267507387e-94
1.133882645724873628e+00 1.257377555685320303e+01 3.836128830658564059e-94
1.407665638423220900e+00 1.531314473643919882e+01 4.144009209581148326e-94
1.612810365384817590e+00 1.308206993296662191e+01 4.691771990372788751e-94
1.334968407096121634e+00 9.273200815285907339e+00 4.792138739517422367e-94
1.633081586563895238e+00 1.128178294032018769e+01 5.722064003530994629e-94
1.470533135275833292e+00 1.198068458350610221e+01 5.940283780115974507e-94
1.151101811943030961e+00 1.028554237729719389e+01 5.936881099499392273e-94
1.211008944566220880e+00 1.084867857901165777e+01 6.441171100720813022e-94
1.874336391971995974e+00 1.422387977530415171e+01 7.735789516226152474e-94
1.084710389569992550e+00 1.022483674868493075e+01 8.620893565412089090e-94
1.021318702909704390e+00 8.671742756109411587e+00 8.788164110047898676e-94
1.778561974432863124e+00 1.278274373279886333e+01 1.087978870566935200e-93
1.617675446837720354e+00 1.386423760930862059e+01 1.274075632461593341e-93
1.106324647277979967e+00 1.089750296221400916e+01 1.274756034873852001e-93
1.007437769463421562e+00 9.650894842618157554e+00 1.295717279997115213e-93
1.415461368237386219e+00 9.294471050848169824e+00 1.305677399940257904e-93
1.485919499274604538e+00 1.037521038859907918e+01 1.352356337418748463e-93
1.163633911551956945e+00 9.921108383905494321e+00 1.409863167911385579e-93
1.285708148433187814e+00 8.599254451129390020e+00 1.429568601630193612e-93
1.545463891537340206e+00 1.581223474958334307e+01 1.525936995294540395e-93
1.217677430994314580e+00 1.005086194434022673e+01 1.538160483305978783e-93
1.351362923794387827e+00 1.320070961125226816e+01 1.589631304082447962e-93
1.093783112204544494e+00 1.307753423199842757e+01 1.594380935097557049e-93
1.537552895514791240e+00 1.435973663520119814e+01 1.682535300271300671e-93
1.168395446464788545e+00 1.228102733507442679e+01 1.686617181558994864e-93
1.241650451055315685e+00 1.324819098618063506e+01 1.708726208499987028e-93
1.246524769188244397e+00 1.306483358769717285e+01 1.779413119509285739e-93
1.419399905755355462e+00 1.109137274484831970e+01 1.989787593636799660e-93
1.077151536807502419e+00 8.563438938975046710e+00 2.043370320786890527e-93
1.385319601341805873e+00 1.392317623634824386e+01 2.060395853128852584e-93
1.574256766141028940e+00 1.070266585135354021e+01 2.093927542149422391e-93
1.306270116575835694e+00 1.135927806667373474e+01 2.113165616427086877e-93
1.003974943262754715e+00 1.016486493995446594e+01 2.609456727149810596e-93
1.339106956280332161e+00 1.246775218316869882e+01 2.631028825552499380e-93
1.587343352301203492e+00 1.356979301327710630e+01 2.660299466628676983e-93
1.491913416049732266e+00 1.378021985438046926e+01 2.731476369558386753e-93
1.653136959280769869e+00 1.270179965558870094e+01 2.764125175756768583e-93
1.003254745742484300e+00 1.141664190031295334e+01 2.934263326807569691e-93
1.328206891070147444e+00 1.278831557731733426e+01 2.953030369362648830e-93
1.544898483176689430e+00 1.275447811695343248e+01 3.398625009244353586e-93
1.617359698363403542e+00 1.268293693808091049e+01 3.450461775278855909e-93
1.207816868386251574e+00 1.023084655289655132e+01 4.181515093409902958e-93
1.121537959655662053e+00 1.226831391755079004e+01 4.208693651660199281e-93
2.079373599878142187e+00 1.560343368610087822e+01 4.539246402740807662e-93
1.009916635732608148e+00 8.427389474362611210e+00 4.941575007959793109e-93
1.445858052840760521e+00 1.105296222453977251e+01 5.357665314623406115e-93
1.323948792483918835e+00 1.259748755354700833e+01 5.459551854580662385e-93
1.229342530169533099e+00 1.219759723171078214e+01 5.470205984027541403e-93
1.073105392012577264e+00 8.688775222011376087e+00 5.853659594988112377e-93
1.258418500925517769e+00 1.279830740047772508e+01 5.929634112806694724e-93
2.006655824906585117e+00 1.403418334631281894e+01 5.969091355522833253e-93
1.222749025028671443e+00 1.039771956547662413e+01 6.041987755475235881e-93
1.312906302198064035e+00 1.178158667672927074e+01 8.069091394947086789e-93
1.194747449593302591e+00 9.303599781061244300e+00 8.101112363629681069e-93
1.174801541885401646e+00 1.062243740451464546e+01 1.053324118455176299e-92
1.165752100815407033e+00 1.005746103055745344e+01 1.076865864199303248e-92
1.615354666621586999e+00 1.078324225804107428e+01 1.111185918940765373e-92
1.781815727892731793e+00 1.368077542092079923e+01 1.156856764135436994e-92
1.492926674583874291e+00 1.108803746395319756e+01 1.199273887415233767e-92
1.898612251012769647e+00 1.342534688590651726e+01 1.213597339255112579e-92
1.846526842879736119e+00 1.487726083622252915e+01 1.218655151317271092e-92
1.747373739457980246e+00 1.285882517559377547e+01 1.266208602786738363e-92
1.561781376172894253e+00 1.162620400311854141e+01 1.381747090375138955e-92
1.456483864661885841e+00 1.219074593622026015e+01 1.393542380148128054e-92
1.010874102368403582e+00 1.162235738412164920e+01 1.397979636368694338e-92
1.121857264144911159e+00 1.184752111725118340e+01 1.414824530739174891e-92
1.807209017949714003e+00 1.482059439001983847e+01 1.553571864864558657e-92
1.268545768460382694e+00 1.095081933617712977e+01 1.590420431525256383e-92
1.858575494656390603e+00 1.348930485629308507e+01 1.790977613427063684e-92
1.651361916755179848e+00 1.195477449488673827e+01 1.960839643767690957e-92
1.447146104609480899e+00 1.168866849034166577e+01 1.959439412720543414e-92
1.966469057941605758e+00 1.490605713907068619e+01 2.057256078540787083e-92
1.159137579131575224e+00 1.176331614937849679e+01 2.187151328359578548e-92
1.012113435247106397e+00 1.159923610591352272e+01 2.494993270948745397e-92
1.155122672424120145e+00 9.945896733071652562e+00 2.546548899980326882e-92
1.008616305201387453e+00 1.264020396027537885e+01 2.560660144376126834e-92
1.223706455718962083e+00 1.021018339705561750e+01 2.654885443212043505e-92
1.256667271768791228e+00 1.068714326686847116e+01 2.663087078002836199e-92
1.725981183495187476e+00 1.464571687587385895e+01 2.695900692659155909e-92
1.015983810749686356e+00 1.107166636560542017e+01 2.985084462161459440e-92
1.117858927774391331e+00 1.075656776503054246e+01 3.221251521725309615e-92
1.318955285979430903e+00 1.056299779109879111e+01 3.276749619364915166e-92
1.242450753398409047e+00 1.072315905921893453e+01 3.436432591591063208e-92
1.662410870126049378e+00 1.215606988650038822e+01 3.634610611683593284e-92
1.580385201570898790e+00 1.472412219694985325e+01 3.657472741863357904e-92
1.577401509695806281e+00 1.178669601570031844e+01 3.776131935284673001e-92
1.703584614443420797e+00 1.480881454507814610e+01 3.850046209689849564e-92
1.007548749554388445e+00 9.989903005628498533e+00 4.362330285974433430e-92
1.168233347687192669e+00 1.106668061062043407e+01 4.541368311200201820e-92
1.254912817363007971e+00 1.040104510430909635e+01 4.563143648566609052e-92
1.962325171075851138e+00 1.508597407656329992e+01 4.811939321649043987e-92
1.171349405023098589e+00 9.926761213543315421e+00 5.016476118843422228e-92
1.141442282451440970e+00 1.306477120519159385e+01 5.375984699744046287e-92
1.408906324589761949e+00 1.240837233842849230e+01 5.907875402151512579e-92
2.240745837104933358e+00 1.475563466498319798e+01 5.921774285877707918e-92
1.106553117605661551e+00 1.109073769876127713e+01 6.100323391641868497e-92
1.899511089652018647e+00 1.588086269266613115e+01 8.027183590351911367e-92
1.188096135076338156e+00 1.177131780738846700e+01 8.202358143504593744e-92
1.811417259031876004e+00 1.463616120815019528e+01 8.415464609578418901e-92
1.210294823908984130e+00 1.372350309348482611e+01 8.543356135203409629e-92
1.390063614590338004e+00 1.335488524941304078e+01 8.945102443208747110e-92
1.669400973083123407e+00 1.328619863950458679e+01 9.955673911612435018e-92
1.198971798149688350e+00 1.198667139321999997e+01 1.068948357271011611e-91
1.396456139047484557e+00 1.245874954344315810e+01 1.106344875242234349e-91
1.992161391476296117e+00 1.447540986735094393e+01 1.195708275072750802e-91
1.423324462935413148e+00 1.165379264489734368e+01 1.275023774838440292e-91
1.392381483176218238e+00 1.228760110538075523e+01 1.360319933560650030e-91
1.366957828390805485e+00 1.177130453266022414e+01 1.416797308984575339e-91
1.104270044736715528e+00 1.073870603975259641e+01 1.416543927903898947e-91
1.280899648958470749e+00 1.191861927131749255e+01 1.451781150317425782e-91
1.722472697480758708e+00 1.497363889361300338e+01 1.524844018299467287e-91
1.301254557020569136e+00 1.119567647162140034e+01 1.529808177152100332e-91
1.041016639432299495e+00 1.220715500366878992e+01 1.650899928092960070e-91
1.953383064581795114e+00 1.384627769912104256e+01 1.700140081280796191e-91
1.132153945289881447e+00 8.374468783102233971e+00 1.831606502155804313e-91
1.178335403221722810e+00 9.841827391934934610e+00 2.095214219751115084e-91
1.515398203282787515e+00 1.369973415131841676e+01 2.405703944027848175e-91
1.451746894456032333e+00 1.306510594194175923e+01 2.570508727912735752e-91
1.224316405446728151e+00 1.031372413541704169e+01 2.687680175801271162e-91
1.010005595352981622e+00 1.203614989664941248e+01 2.731998447302606031e-91
1.800338258436171790e+00 1.424624672805319037e+01 3.075579294199779388e-91
1.032870748320624976e+00 8.227016470951273419e+00 3.164818076422169556e-91
1.369246274850844047e+00 1.481828832526708695e+01 3.493988657967132179e-91
1.198460321369730019e+00 1.145208973194735336e+01 3.523849474583676945e-91
1.033948651629089222e+00 1.036874293250833290e+01 3.693799665828124636e-91
1.486349681770707587e+00 1.410988584364951137e+01 3.783704461890239469e-91
1.355166564286461872e+00 1.337718559037996258e+01 3.984003946586067566e-91
2.109505919649589778e+00 1.547480463804412665e+01 4.181063356149282886e-91
1.096427083577830031e+00 7.524845720397969728e+00 4.372802007935638455e-91
1.116004163689971351e+00 1.049037354067019656e+01 4.470948034243413625e-91
1.263299036816387000e+00 1.014301548358200833e+01 4.567742554924999693e-91
1.243250142087330978e+00 1.137746231879916081e+01 4.879134992567459515e-91
1.114946342849223893e+00 8.870513599886832523e+00 5.153104470940006679e-91
1.150700522440928797e+00 1.310491204503546925e+01 5.154141534565646031e-91
1.110477939559444183e+00 1.050437165363725178e+01 5.212879035090730575e-91
1.003871436698953845e+00 1.001834546888504107e+01 5.482849814532766394e-91
1.098737464247495410e+00 1.034282507624497605e+01 5.505799148972852165e-91
1.855545031885688756e+00 1.545515851944982089e+01 5.914833572619242364e-91
1.319960789518479283e+00 1.238110905565837072e+01 6.120979802493978081e-91
1.486147852558864280e+00 1.072015516715697458e+01 6.167970721858385733e-91
1.459202303601728090e+00 1.104103066358050000e+01 6.202334452613701645e-91
1.094289672226054888e+00 8.328703037750813110e+00 6.452202301488933236e-91
